id,accept_id,business_id,InsuredName,LossName,loss_name,claim_pattern,severity_band,loss_year,uw_year,report_period,close_period,dev_period,period,paid,outstanding,incurred,paid_movement,outstanding_movement,incurred_movement,claim_status
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,12,1995Q4,0.0,2.0,2.0,0.0,2.0,2.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,15,1996Q1,1.0,3.0,4.0,1.0,1.0,2.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,18,1996Q2,2.0,3.0,5.0,1.0,0.0,1.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,21,1996Q3,3.0,3.0,6.0,1.0,0.0,1.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,24,1996Q4,4.0,4.0,8.0,1.0,1.0,2.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,27,1997Q1,6.0,3.0,9.0,2.0,-1.0,1.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,30,1997Q2,7.0,2.0,9.0,1.0,-1.0,0.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,33,1997Q3,8.0,1.0,9.0,1.0,-1.0,0.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,36,1997Q4,9.0,1.0,10.0,1.0,0.0,1.0,open
Q1995-001,ACC-1995-001,AGY_A,Northfield Hospitality 001,Equipment failure with contractor involvement,Equipment failure with contractor involvement,late,small,1995,1995,1995Q4,1998Q1,39,1998Q1,10.0,0.0,10.0,1.0,-1.0,0.0,closed
